TIMESTAMP;Niederschlag;Aussentemperatur;Ruecklauftemperatur;Vorlauftemperatur;Relative_Feuchte;heatEnergy
16/06/2014 12:00:00;0.0;16.6;26.12627272727273;26.46845454545454;62;1.8999999999999984
16/06/2014 13:00:00;0.0;17.5;25.465244444444448;25.527399999999997;62;0.0
16/06/2014 14:00:00;0.0;16.1;25.192914893617026;25.235127659574466;67;0.0
16/06/2014 15:00:00;0.0;15.8;25.03282857142857;25.064542857142857;72;0.0
16/06/2014 16:00:00;0.0;16.2;25.107970588235297;25.899117647058826;75;0.0
16/06/2014 17:00:00;0.0;16.4;25.555333333333333;26.500916666666665;72;4.712121212121211
16/06/2014 18:00:00;0.0;16.4;25.915942857142852;26.486142857142863;71;7.166666666666664
16/06/2014 19:00:00;0.0;15.9;25.248404255319148;25.41238297872341;70;0.0869565217391326
16/06/2014 20:00:00;0.0;15.3;25.87110416666667;26.717875;72;7.539855072463772
16/06/2014 21:00:00;0.0;15.2;25.99834782608696;26.989000000000008;75;2.8568840579710155
16/06/2014 22:00:00;0.0;14.8;26.124437499999992;27.077937499999994;73;1.4583333333333286
16/06/2014 23:00:00;0.0;13.3;25.73525531914893;25.87531914893617;79;2.407608695652172
17/06/2014 00:00:00;0.0;11.8;25.35536111111111;25.40475;85;0.0
17/06/2014 01:00:00;0.0;12.4;25.13980434782609;25.17832608695653;84;0.0
17/06/2014 02:00:00;0.0;10.6;24.946555555555552;24.983666666666664;90;0.0
17/06/2014 03:00:00;0.0;9.5;24.11689361702127;24.567340425531906;90;0.0
17/06/2014 04:00:00;0.0;9.1;25.736611111111106;27.846222222222213;91;2.1666666666666714
17/06/2014 05:00:00;0.0;10.3;26.90702173913044;28.886021739130438;93;13.166666666666671
17/06/2014 06:00:00;0.0;11.7;27.10388888888889;28.216638888888887;88;10.696969696969703
17/06/2014 07:00:00;0.0;13.5;26.141388888888887;26.43747222222223;81;0.4166666666666572
17/06/2014 08:00:00;0.0;14.8;26.99966666666667;28.132229166666665;77;12.875
17/06/2014 09:00:00;0.0;15.1;26.56920833333334;26.84995833333333;75;6.75
17/06/2014 10:00:00;0.0;17.5;25.89113043478261;25.96747826086956;66;0.0
17/06/2014 11:00:00;0.0;16.4;25.544804347826084;25.59891304347825;73;0.0
17/06/2014 12:00:00;0.0;17.4;25.28400000000001;25.32652083333333;72;0.0
17/06/2014 13:00:00;0.0;17.6;25.0896875;25.12625;72;0.0
17/06/2014 14:00:00;0.0;18.4;24.94078260869566;24.972717391304354;74;0.0
17/06/2014 15:00:00;0.0;19.0;24.810288888888888;24.838822222222227;67;0.0
17/06/2014 16:00:00;0.0;19.9;24.70620833333334;24.730312499999986;66;0.0
17/06/2014 17:00:00;0.0;19.2;24.624857142857145;24.646285714285714;69;0.0
17/06/2014 18:00:00;0.0;18.2;24.55962500000001;24.57983333333333;74;0.0
17/06/2014 19:00:00;0.0;17.2;24.49152083333334;24.513312499999994;79;0.0
17/06/2014 20:00:00;0.0;16.6;24.219124999999995;24.38195833333333;80;0.0
17/06/2014 21:00:00;0.0;15.3;23.41027659574468;23.891553191489372;87;0.0
17/06/2014 22:00:00;0.0;15.8;22.96787234042553;23.49125531914893;84;0.0
17/06/2014 23:00:00;0.0;14.4;22.66627659574468;23.320276595744673;90;0.0
18/06/2014 00:00:00;0.0;14.3;22.4303125;23.24762500000001;90;0.0
18/06/2014 01:00:00;0.0;13.7;22.233166666666666;23.201541666666675;91;0.0
18/06/2014 02:00:00;0.0;13.2;22.067791666666665;23.155249999999995;91;0.0
18/06/2014 03:00:00;0.0;12.5;21.915875000000003;23.121375000000004;93;0.0
18/06/2014 04:00:00;0.0;11.8;25.13191666666667;26.896437499999994;94;2.875
18/06/2014 05:00:00;0.0;12.5;26.288979166666675;28.29958333333333;92;10.875
18/06/2014 06:00:00;0.0;13.5;26.91554545454545;28.47761363636365;88;11.97826086956522
18/06/2014 07:00:00;0.0;14.1;26.72587500000001;27.75183333333333;84;8.726190476190453
18/06/2014 08:00:00;0.0;15.2;27.35057142857142;28.580333333333343;80;8.458333333333313
18/06/2014 09:00:00;0.0;17.7;26.767549999999996;27.15533333333333;67;5.3666666666667036
18/06/2014 10:00:00;0.0;18.8;25.972741379310346;26.05400000000001;60;0.0
18/06/2014 11:00:00;0.0;20.0;25.62028813559321;25.67405084745763;55;0.0
18/06/2014 12:00:00;0.0;20.6;25.39625;25.43806818181819;49;0.0
18/06/2014 13:00:00;0.0;21.8;25.208288888888887;25.244111111111113;44;0.0
18/06/2014 14:00:00;0.0;21.3;25.045850000000005;25.07533333333333;49;0.0
18/06/2014 15:00:00;0.0;21.2;24.934399999999997;24.959750000000003;50;0.0
18/06/2014 16:00:00;0.0;20.8;24.84858333333333;24.87014999999999;52;0.0
18/06/2014 17:00:00;0.0;20.7;23.47416666666667;23.841866666666665;53;0.8000000000000114
18/06/2014 18:00:00;0.0;19.9;23.4491;23.69818333333333;52;0.0
18/06/2014 19:00:00;0.0;18.0;20.176483333333334;23.77151666666668;62;0.3333333333333144
18/06/2014 20:00:00;0.0;15.5;19.84495;23.69496666666667;74;0.5
18/06/2014 21:00:00;0.0;14.3;20.227649999999983;22.40481666666667;81;0.0
18/06/2014 22:00:00;0.0;12.8;19.918199999999995;22.000766666666674;88;0.0
18/06/2014 23:00:00;0.0;12.4;19.791950000000003;22.071333333333346;92;0.0
19/06/2014 00:00:00;0.0;11.6;19.769766666666666;22.058933333333325;94;0.0
19/06/2014 01:00:00;0.0;10.7;19.757750000000005;22.00291666666668;94;0.0
