STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; NIEDERSCHLAG_GEFALLEN_IND;NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSFORM;eor
     2667;2013122200;   3;   1;   0.1;-999;eor
     2667;2013122201;   3;   0;   0.0;   0;eor
     2667;2013122202;   3;   0;   0.0;   0;eor
     2667;2013122203;   3;   1;   0.3;-999;eor
     2667;2013122204;   3;   1;   0.5;   6;eor
     2667;2013122205;   3;   0;   0.0;   0;eor
     2667;2013122206;   3;   1;   0.0;-999;eor
     2667;2013122207;   3;   1;   0.2;   6;eor
     2667;2013122208;   3;   1;   1.2;   6;eor
     2667;2013122209;   3;   1;   0.2;-999;eor
     2667;2013122210;   3;   1;   0.0;   6;eor
     2667;2013122211;   3;   0;   0.0;   0;eor
     2667;2013122212;   3;   0;   0.0;-999;eor
     2667;2013122213;   3;   0;   0.0;   0;eor
     2667;2013122214;   3;   1;   0.0;   6;eor
     2667;2013122215;   3;   1;   0.0;-999;eor
     2667;2013122216;   3;   0;   0.0;   0;eor
     2667;2013122217;   3;   1;   0.0;   6;eor
     2667;2013122218;   3;   1;   0.0;-999;eor
     2667;2013122219;   3;   0;   0.0;   0;eor
     2667;2013122220;   3;   0;   0.0;   0;eor
     2667;2013122221;   3;   1;   0.0;-999;eor
     2667;2013122222;   3;   1;   0.0;   6;eor
     2667;2013122223;   3;   1;   0.0;   6;eor
     2667;2013122300;   3;   1;   0.0;-999;eor
     2667;2013122301;   3;   0;   0.0;   0;eor
     2667;2013122302;   3;   0;   0.0;   0;eor
     2667;2013122303;   3;   1;   0.0;-999;eor
     2667;2013122304;   3;   0;   0.0;   0;eor
     2667;2013122305;   3;   0;   0.0;   0;eor
     2667;2013122306;   3;   0;   0.0;-999;eor
     2667;2013122307;   3;   0;   0.0;   0;eor
     2667;2013122308;   3;   0;   0.0;   0;eor
     2667;2013122309;   3;   0;   0.0;-999;eor
     2667;2013122310;   3;   0;   0.0;   0;eor
     2667;2013122311;   3;   0;   0.0;   0;eor
     2667;2013122312;   3;   0;   0.0;-999;eor
     2667;2013122313;   3;   0;   0.0;   0;eor
     2667;2013122314;   3;   0;   0.0;   0;eor
     2667;2013122315;   3;   0;   0.0;-999;eor
     2667;2013122316;   3;   0;   0.0;   0;eor
     2667;2013122317;   3;   0;   0.0;   0;eor
     2667;2013122318;   3;   0;   0.0;-999;eor
     2667;2013122319;   3;   0;   0.0;   0;eor
     2667;2013122320;   3;   0;   0.0;   0;eor
     2667;2013122321;   3;   0;   0.0;-999;eor
     2667;2013122322;   3;   0;   0.0;   0;eor
     2667;2013122323;   3;   0;   0.0;   0;eor
     2667;2013122400;   3;   0;   0.0;-999;eor
     2667;2013122401;   3;   0;   0.0;   0;eor
     2667;2013122402;   3;   0;   0.0;   0;eor
     2667;2013122403;   3;   0;   0.0;-999;eor
     2667;2013122404;   3;   0;   0.0;   0;eor
     2667;2013122405;   3;   0;   0.0;   0;eor
     2667;2013122406;   3;   0;   0.0;-999;eor
     2667;2013122407;   3;   0;   0.0;   0;eor
     2667;2013122408;   3;   0;   0.0;   0;eor
     2667;2013122409;   3;   0;   0.0;-999;eor
     2667;2013122410;   3;   0;   0.0;   0;eor
     2667;2013122411;   3;   0;   0.0;   0;eor
     2667;2013122412;   3;   0;   0.0;-999;eor
     2667;2013122413;   3;   0;   0.0;   0;eor
     2667;2013122414;   3;   0;   0.0;   0;eor
     2667;2013122415;   3;   0;   0.0;-999;eor
     2667;2013122416;   3;   0;   0.0;   0;eor
     2667;2013122417;   3;   0;   0.0;   0;eor
     2667;2013122418;   3;   0;   0.0;-999;eor
     2667;2013122419;   3;   0;   0.0;   0;eor
     2667;2013122420;   3;   0;   0.0;   0;eor
     2667;2013122421;   3;   0;   0.0;-999;eor
     2667;2013122422;   3;   0;   0.0;   0;eor
     2667;2013122423;   3;   0;   0.0;   0;eor
     2667;2013122500;   3;   0;   0.0;-999;eor
     2667;2013122501;   3;   1;   0.0;   6;eor
     2667;2013122502;   3;   0;   0.0;   0;eor
     2667;2013122503;   3;   0;   0.0;-999;eor
     2667;2013122504;   3;   1;   0.0;   6;eor
     2667;2013122505;   3;   1;   0.5;   6;eor
     2667;2013122506;   3;   1;   0.0;-999;eor
     2667;2013122507;   3;   1;   0.0;   6;eor
     2667;2013122508;   3;   0;   0.0;   0;eor
     2667;2013122509;   3;   0;   0.0;-999;eor
     2667;2013122510;   3;   0;   0.0;   0;eor
     2667;2013122511;   3;   0;   0.0;   0;eor
     2667;2013122512;   3;   0;   0.0;-999;eor
     2667;2013122513;   3;   0;   0.0;   0;eor
     2667;2013122514;   3;   0;   0.0;   0;eor
     2667;2013122515;   3;   0;   0.0;-999;eor
     2667;2013122516;   3;   0;   0.0;   0;eor
     2667;2013122517;   3;   0;   0.0;   0;eor
     2667;2013122518;   3;   0;   0.0;-999;eor
     2667;2013122519;   3;   0;   0.0;   0;eor
     2667;2013122520;   3;   0;   0.0;   0;eor
     2667;2013122521;   3;   0;   0.0;-999;eor
     2667;2013122522;   3;   0;   0.0;   0;eor
     2667;2013122523;   3;   0;   0.0;   0;eor
     2667;2013122600;   3;   0;   0.0;-999;eor
     2667;2013122601;   3;   0;   0.0;   0;eor
     2667;2013122602;   3;   0;   0.0;   0;eor
     2667;2013122603;   3;   0;   0.0;-999;eor
     2667;2013122604;   3;   0;   0.0;   0;eor
     2667;2013122605;   3;   0;   0.0;   0;eor
     2667;2013122606;   3;   0;   0.0;-999;eor
     2667;2013122607;   3;   0;   0.0;   0;eor
     2667;2013122608;   3;   0;   0.0;   0;eor
     2667;2013122609;   3;   0;   0.0;-999;eor
     2667;2013122610;   3;   0;   0.0;   0;eor
     2667;2013122611;   3;   1;   0.0;   6;eor
     2667;2013122612;   3;   1;   0.0;-999;eor
     2667;2013122613;   3;   1;   0.0;   6;eor
     2667;2013122614;   3;   1;   0.0;   6;eor
     2667;2013122615;   3;   1;   0.0;-999;eor
     2667;2013122616;   3;   1;   0.0;   6;eor
     2667;2013122617;   3;   1;   0.0;   6;eor
     2667;2013122618;   3;   1;   0.0;-999;eor
     2667;2013122619;   3;   0;   0.0;   0;eor
     2667;2013122620;   3;   0;   0.0;   0;eor
     2667;2013122621;   3;   0;   0.0;-999;eor
