STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; STRUKTUR_VERSION; STUNDENSUMME_SONNENSCHEIN;eor
  2667;2013122203;  10;  37;  0.00;eor
  2667;2013122204;  10;  37;  0.00;eor
  2667;2013122205;  10;  37;  0.00;eor
  2667;2013122206;  10;  37;  0.00;eor
  2667;2013122207;  10;  37;  0.00;eor
  2667;2013122208;  10;  37;  0.00;eor
  2667;2013122209;  10;  37;  0.00;eor
  2667;2013122210;  10;  37;  0.00;eor
  2667;2013122211;  10;  37;  0.00;eor
  2667;2013122212;  10;  37;  0.00;eor
  2667;2013122213;  10;  37;  0.00;eor
  2667;2013122214;  10;  37;  0.00;eor
  2667;2013122215;  10;  37;  0.00;eor
  2667;2013122216;  10;  37;  0.00;eor
  2667;2013122217;  10;  37;  0.00;eor
  2667;2013122218;  10;  37;  0.00;eor
  2667;2013122219;  10;  37;  0.00;eor
  2667;2013122220;  10;  37;  0.00;eor
  2667;2013122303;  10;  37;  0.00;eor
  2667;2013122304;  10;  37;  0.00;eor
  2667;2013122305;  10;  37;  0.00;eor
  2667;2013122306;  10;  37;  0.00;eor
  2667;2013122307;  10;  37;  0.00;eor
  2667;2013122308;  10;  37;  0.00;eor
  2667;2013122309;  10;  37; 21.00;eor
  2667;2013122310;  10;  37; 59.00;eor
  2667;2013122311;  10;  37; 60.00;eor
  2667;2013122312;  10;  37; 60.00;eor
  2667;2013122313;  10;  37; 45.00;eor
  2667;2013122314;  10;  37;  0.00;eor
  2667;2013122315;  10;  37;  0.00;eor
  2667;2013122316;  10;  37;  0.00;eor
  2667;2013122317;  10;  37;  0.00;eor
  2667;2013122318;  10;  37;  0.00;eor
  2667;2013122319;  10;  37;  0.00;eor
  2667;2013122320;  10;  37;  0.00;eor
  2667;2013122403;  10;  37;  0.00;eor
  2667;2013122404;  10;  37;  0.00;eor
  2667;2013122405;  10;  37;  0.00;eor
  2667;2013122406;  10;  37;  0.00;eor
  2667;2013122407;  10;  37;  0.00;eor
  2667;2013122408;  10;  37;  0.00;eor
  2667;2013122409;  10;  37;  0.00;eor
  2667;2013122410;  10;  37;  0.00;eor
  2667;2013122411;  10;  37;  0.00;eor
  2667;2013122412;  10;  37;  0.00;eor
  2667;2013122413;  10;  37;  0.00;eor
  2667;2013122414;  10;  37;  0.00;eor
  2667;2013122415;  10;  37;  0.00;eor
  2667;2013122416;  10;  37;  0.00;eor
  2667;2013122417;  10;  37;  0.00;eor
  2667;2013122418;  10;  37;  0.00;eor
  2667;2013122419;  10;  37;  0.00;eor
  2667;2013122420;  10;  37;  0.00;eor
  2667;2013122503;  10;  37;  0.00;eor
  2667;2013122504;  10;  37;  0.00;eor
  2667;2013122505;  10;  37;  0.00;eor
  2667;2013122506;  10;  37;  0.00;eor
  2667;2013122507;  10;  37;  0.00;eor
  2667;2013122508;  10;  37;  0.00;eor
  2667;2013122509;  10;  37;  0.00;eor
  2667;2013122510;  10;  37;  0.00;eor
  2667;2013122511;  10;  37;  0.00;eor
  2667;2013122512;  10;  37;  0.00;eor
  2667;2013122513;  10;  37;  0.00;eor
  2667;2013122514;  10;  37;  0.00;eor
  2667;2013122515;  10;  37;  0.00;eor
  2667;2013122516;  10;  37;  0.00;eor
  2667;2013122517;  10;  37;  0.00;eor
  2667;2013122518;  10;  37;  0.00;eor
  2667;2013122519;  10;  37;  0.00;eor
  2667;2013122520;  10;  37;  0.00;eor
  2667;2013122603;  10;  37;  0.00;eor
  2667;2013122604;  10;  37;  0.00;eor
  2667;2013122605;  10;  37;  0.00;eor
  2667;2013122606;  10;  37;  0.00;eor
  2667;2013122607;  10;  37;  0.00;eor
  2667;2013122608;  10;  37;  0.00;eor
  2667;2013122609;  10;  37;  0.00;eor
  2667;2013122610;  10;  37;  0.00;eor
  2667;2013122611;  10;  37;  0.00;eor
  2667;2013122612;  10;  37;  0.00;eor
  2667;2013122613;  10;  37;  0.00;eor
  2667;2013122614;  10;  37;  0.00;eor
  2667;2013122615;  10;  37;  0.00;eor
  2667;2013122616;  10;  37;  0.00;eor
  2667;2013122617;  10;  37;  0.00;eor
